T0_signal_date,T1_entry_date,symbol,cap_segment,t0_pct_change,t0_vol_ratio_20d,t0_close,t1_open,t1_high,gap_pct,entry_price,hard_sl,t1_target,t2_target,exit_price,exit_reason,stop_distance,qty,realized_pnl,fee,net_pnl
2024-07-18,2024-07-19,NSE:JUSTDIAL,mid_cap,19.99806781953435,42.407528513974455,1242.1,1265.5,1304.6,1.8839062877385127,1226.95,1311.1229999999998,1265.5,1242.1,1242.1,t2_full_gap_fill,84.17299999999977,11,-166.6499999999985,14.414416327300001,-181.0644163272985
2024-01-30,2024-01-31,NSE:JYOTISTRUC,small_cap,4.873949579831938,1.8095700127298435,31.2,31.6,32.2,1.2820512820512997,29.9,32.361,31.6,31.2,31.2,t2_full_gap_fill,2.4609999999999985,406,-527.8000000000003,13.124318079599998,-540.9243180796003
2024-03-22,2024-03-26,NSE:JYOTISTRUC,small_cap,5.000000000000004,1.59830918692375,22.05,22.7,22.7,2.947845804988658,21.0,22.813499999999998,22.7,22.05,22.05,t2_full_gap_fill,1.8134999999999977,551,-578.5500000000004,12.5416020933,-591.0916020933004
2024-04-23,2024-04-24,NSE:JYOTISTRUC,small_cap,4.545454545454541,2.010908320346244,23.0,23.35,23.4,1.521739130434785,22.7,23.516999999999996,23.35,23.0,23.0,t2_full_gap_fill,0.8169999999999966,1223,-366.9000000000009,29.6605068866,-396.5605068866009
2024-06-19,2024-06-20,NSE:JYOTISTRUC,small_cap,4.976389393389025,2.8026645322658736,28.9,30.34,30.34,4.982698961937726,30.34,30.6434,30.34,28.9,29.6,eod,0.3033999999999999,3295,2438.2999999999947,82.50630603379999,2355.793693966195
2024-07-30,2024-07-31,NSE:JYOTISTRUC,small_cap,4.974016332590936,2.2153538742444505,28.28,28.75,29.69,1.6619519094766666,29.66,29.9566,28.75,28.28,29.69,eod,0.29660000000000153,3371,-101.13000000000383,82.68229010309999,-183.8122901031038
2024-09-12,2024-09-13,NSE:JYOTISTRUC,small_cap,4.983510443385852,1.5742899263187973,28.65,29.0,29.05,1.221640488656206,28.24,29.195249999999998,29.0,28.65,28.65,t2_full_gap_fill,0.9552499999999995,1046,-428.8600000000001,31.57517035763999,-460.4351703576401
2024-10-07,2024-10-08,NSE:JYOTISTRUC,small_cap,4.7974832874557505,3.2599520655938945,26.65,27.8,29.31,4.315196998123838,29.17,29.4617,27.8,26.65,29.28,eod,0.29169999999999874,3428,-377.07999999999805,82.70475823960001,-459.7847582395981
2024-10-09,2024-10-10,NSE:JYOTISTRUC,small_cap,9.979423868312765,7.5276733913194604,32.07,32.7,34.9,1.9644527595884087,32.21,35.07449999999999,32.7,32.07,32.07,t2_full_gap_fill,2.8644999999999925,349,48.8600000000002,11.926788010320003,36.933211989680196
2024-10-23,2024-10-24,NSE:JYOTISTRUC,small_cap,4.939084622983203,1.8431529769908346,31.87,32.3,33.46,1.3492312519610694,31.99,33.6273,32.3,31.87,31.87,t2_full_gap_fill,1.6372999999999998,610,73.19999999999844,20.708760167600005,52.491239832398435
2024-10-30,2024-10-31,NSE:JYOTISTRUC,small_cap,4.95534428118698,1.6910112400392867,36.43,36.9,37.8,1.2901454844908011,36.95,37.98899999999999,36.9,36.43,36.43,t2_full_gap_fill,1.0389999999999873,962,500.240000000003,37.567804933359994,462.67219506664304
2024-04-03,2024-04-04,NSE:KAMATHOTEL,small_cap,4.993644452514978,1.7569920511418597,289.1,297.5,301.2,2.9055690072639084,294.0,302.70599999999996,297.5,289.1,289.1,t2_full_gap_fill,8.70599999999996,114,558.5999999999974,35.385809600399995,523.2141903995974
